Family,group
Eriocraniidae,0
Hepialidae,2
Nepticulidae,0
Adelidae,1
Prodoxidae,0
Psychidae,3
Tineidae,1
Roeslerstammiidae,1
Plutellidae,1
Yponomeutidae,0
Bucculatricidae,0
Gracillariidae,0
Choreutidae,3
Tortricidae,1
Sesiidae,1
Lacturidae,0
Zygaenidae,3
Limacodidae,4
Megalopygidae,4
Cossidae,2
Papilionidae,5
Hesperiidae,3
Pieridae,4
Riodinidae,5
Lycaenidae,5
Nymphalidae,5
Depressariidae,1
Autostichidae,0
Cosmopterigidae,0
Gelechiidae,1
Alucitidae,1
Pterophoridae,1
Thyrididae,4
Pyralidae,1
Crambidae,1
Mimallonidae,4
Drepanidae,4
Notodontidae,2
Erebidae,2
Nolidae,2
Euteliidae,2
Noctuidae,2
Sematuridae,4
Uraniidae,4
Geometridae,4
Lasiocampidae,4
Bombycidae,4
Brahmaeidae,4
Eupterotidae,4
Endromidae,4
Saturniidae,4
Sphingidae,2
